county,address,name,dem,rep,grn,lib,unaf,oth,total,date,dem_perc,rep_perc,grn_perc,lib_perc,unaf_perc,oth_perc
CARROLL,1040,297,95,88,5,7,203,7,405,2018-07-31,23.456790123456788,21.728395061728396,1.2345679012345678,1.728395061728395,50.123456790123456,1.728395061728395
CECIL,649,185,57,43,4,8,132,4,248,2018-07-31,22.983870967741936,17.338709677419356,1.6129032258064515,3.225806451612903,53.2258064516129,1.6129032258064515
CHARLES,1117,356,96,61,1,8,126,7,299,2018-07-31,32.10702341137124,20.401337792642142,0.33444816053511706,2.6755852842809364,42.14046822742475,2.341137123745819
DORCHESTER,262,56,15,10,0,0,14,1,40,2018-07-31,37.5,25,0,0,35,2.5
FREDERICK,1560,586,121,137,10,14,157,3,442,2018-07-31,27.37556561085973,30.995475113122172,2.262443438914027,3.167420814479638,35.52036199095023,0.6787330316742082
GARRETT,155,46,23,17,1,0,21,0,62,2018-07-31,37.096774193548384,27.419354838709676,1.6129032258064515,0,33.87096774193548,0
HARFORD,924,284,157,68,2,9,203,12,451,2018-07-31,34.811529933481154,15.077605321507761,0.4434589800443459,1.9955654101995564,45.01108647450111,2.6607538802660753
HOWARD,2275,775,168,215,8,26,430,29,876,2018-07-31,19.17808219178082,24.54337899543379,0.91324200913242,2.968036529680365,49.08675799086758,3.3105022831050226
KENT,141,35,13,17,0,0,29,1,60,2018-07-31,21.666666666666668,28.333333333333332,0,0,48.333333333333336,1.6666666666666667
MONTGOMERY,4519,2064,323,298,22,19,502,47,1211,2018-07-31,26.67217175887696,24.607762180016515,1.8166804293971925,1.568951279933939,41.453344343517756,3.8810900082576385
PR. GEORGE'S,6588,2060,352,212,29,42,1342,176,2153,2018-07-31,16.34928007431491,9.846725499303298,1.3469577333952625,1.9507663725034836,62.33163028332559,8.174640037157454
QUEEN ANNE'S,375,107,42,20,1,3,62,8,136,2018-07-31,30.88235294117647,14.705882352941178,0.7352941176470588,2.2058823529411766,45.588235294117645,5.88235294117647
ST. MARY'S,845,253,86,46,0,5,126,3,266,2018-07-31,32.33082706766917,17.293233082706767,0,1.8796992481203008,47.368421052631575,1.1278195488721803
SOMERSET,147,34,15,6,0,0,16,0,37,2018-07-31,40.54054054054054,16.216216216216218,0,0,43.24324324324324,0
TALBOT,304,113,32,33,3,2,49,4,123,2018-07-31,26.01626016260163,26.82926829268293,2.4390243902439024,1.6260162601626018,39.83739837398374,3.2520325203252036
WASHINGTON,932,279,84,51,1,8,107,8,259,2018-07-31,32.432432432432435,19.69111969111969,0.3861003861003861,3.088803088803089,41.312741312741316,3.088803088803089
WICOMICO,830,182,46,32,3,4,74,4,163,2018-07-31,28.22085889570552,19.631901840490798,1.8404907975460123,2.4539877300613497,45.39877300613497,2.4539877300613497
WORCESTER,476,80,21,25,1,4,92,2,145,2018-07-31,14.482758620689657,17.24137931034483,0.6896551724137931,2.7586206896551726,63.44827586206897,1.3793103448275863
Total,40397,13225,3095,2246,183,284,6127,436,12371,2018-07-31,25.018187697033383,18.155363349769623,1.4792660253819416,2.2956915366583135,49.527119877132,3.524371514024735
ALLEGANY,628,102,52,25,2,2,30,3,114,2018-08-30,45.614035087719294,21.929824561403507,1.7543859649122806,1.7543859649122806,26.31578947368421,2.631578947368421
ANNE ARUNDEL,3606,1540,288,241,11,29,272,18,859,2018-08-30,33.527357392316645,28.055878928987195,1.2805587892898718,3.3760186263096625,31.664726426076832,2.0954598370197903
